2025-05-22 11:19:58 | INFO     | app.service.employee_service:13 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-22 11:19:58 | INFO     | app.service.employee_service:17 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-22 11:19:58 | INFO     | app.service.employee_service:26 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Amit Sharma', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Delhi', 'dob': '****-**-**', 'projects': []}
2025-05-22 11:19:58 | INFO     | app.service.employee_service:36 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-22 11:19:58 | INFO     | app.service.employee_service:38 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-22 11:19:58 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-22 11:19:58 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-22 11:19:58 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [GET, OPTIONS, HEAD] /static/<path:filename>', 'index [GET, OPTIONS, HEAD] /', 'all_employees [GET, OPTIONS, HEAD] /employees', 'bench_employees [GET, OPTIONS, HEAD] /employees/bench', 'active_projects [GET, OPTIONS, HEAD] /employees/active_projects', 'completed_projects [GET, OPTIONS, HEAD] /employees/completed_projects']
2025-05-22 11:19:58 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-22 11:19:58 | INFO     | app.service.employee_service:13 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-22 11:19:58 | INFO     | app.service.employee_service:17 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-22 11:19:58 | INFO     | app.service.employee_service:26 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Amit Sharma', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Delhi', 'dob': '****-**-**', 'projects': []}
2025-05-22 11:19:58 | INFO     | app.service.employee_service:36 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-22 11:19:58 | INFO     | app.service.employee_service:38 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-22 11:19:58 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-22 11:19:58 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-22 11:19:58 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [GET, OPTIONS, HEAD] /static/<path:filename>', 'index [GET, OPTIONS, HEAD] /', 'all_employees [GET, OPTIONS, HEAD] /employees', 'bench_employees [GET, OPTIONS, HEAD] /employees/bench', 'active_projects [GET, OPTIONS, HEAD] /employees/active_projects', 'completed_projects [GET, OPTIONS, HEAD] /employees/completed_projects']
2025-05-22 11:19:58 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-22 11:20:12 | INFO     | app.service.employee_service:47 | get_all_employees() | [Thread-2 (process_request_thread)] | API REQUEST: Retrieving complete employee dataset containing 15 records
2025-05-22 11:20:12 | INFO     | app.service.employee_service:49 | get_all_employees() | [Thread-2 (process_request_thread)] | API RESPONSE: Returning 15 employee records with 10 total projects
2025-05-22 12:45:20 | INFO     | app.service.employee_service:13 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-22 12:45:20 | INFO     | app.service.employee_service:17 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-22 12:45:20 | INFO     | app.service.employee_service:26 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Amit Sharma', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Delhi', 'dob': '****-**-**', 'projects': []}
2025-05-22 12:45:20 | INFO     | app.service.employee_service:36 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-22 12:45:20 | INFO     | app.service.employee_service:38 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-22 12:45:20 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-22 12:45:20 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-22 12:45:20 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [GET, OPTIONS, HEAD] /static/<path:filename>', 'index [GET, OPTIONS, HEAD] /', 'all_employees [GET, OPTIONS, HEAD] /employees', 'bench_employees [GET, OPTIONS, HEAD] /employees/bench', 'active_projects [GET, OPTIONS, HEAD] /employees/active_projects', 'completed_projects [GET, OPTIONS, HEAD] /employees/completed_projects']
2025-05-22 12:45:20 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-22 12:45:20 | INFO     | app.service.employee_service:13 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-22 12:45:20 | INFO     | app.service.employee_service:17 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-22 12:45:20 | INFO     | app.service.employee_service:26 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Amit Sharma', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Delhi', 'dob': '****-**-**', 'projects': []}
2025-05-22 12:45:20 | INFO     | app.service.employee_service:36 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-22 12:45:20 | INFO     | app.service.employee_service:38 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-22 12:45:20 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-22 12:45:20 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-22 12:45:20 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [OPTIONS, HEAD, GET] /static/<path:filename>', 'index [OPTIONS, HEAD, GET] /', 'all_employees [OPTIONS, HEAD, GET] /employees', 'bench_employees [OPTIONS, HEAD, GET] /employees/bench', 'active_projects [OPTIONS, HEAD, GET] /employees/active_projects', 'completed_projects [OPTIONS, HEAD, GET] /employees/completed_projects']
2025-05-22 12:45:20 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-22 12:50:58 | INFO     | employee_api.main:49 | completed_projects() | [Thread-2 (process_request_thread)] | API REQUEST [2887534615888]: Completed projects endpoint called from IP: 127.0.0.1, User-Agent: PostmanRuntime/7.43.4
2025-05-22 12:50:58 | INFO     | app.service.employee_service:81 | get_by_project_status() | [Thread-2 (process_request_thread)] | API REQUEST: Filtering employees by project status: 'completed'
2025-05-22 12:50:58 | INFO     | app.service.employee_service:96 | get_by_project_status() | [Thread-2 (process_request_thread)] | STATISTICS: Found 6 employees (40.00% of workforce) with 6 'completed' projects
2025-05-22 12:50:58 | INFO     | app.service.employee_service:104 | get_by_project_status() | [Thread-2 (process_request_thread)] | DETAILED BREAKDOWN: Employees with 'completed' projects by department: {'HR': 1, 'IT': 2, 'Finance': 2, 'QA': 1}
2025-05-22 12:50:58 | INFO     | app.service.employee_service:106 | get_by_project_status() | [Thread-2 (process_request_thread)] | API RESPONSE: Returning 6 employee records with 'completed' projects
2025-05-22 12:50:58 | INFO     | employee_api.main:53 | completed_projects() | [Thread-2 (process_request_thread)] | API RESPONSE [2887534615888]: Returning 6 employees with completed projects with HTTP 200 status
2025-05-22 20:48:02 | INFO     | app.service.employee_service:13 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-22 20:48:02 | INFO     | app.service.employee_service:17 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-22 20:48:02 | INFO     | app.service.employee_service:26 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Amit Sharma', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Delhi', 'dob': '****-**-**', 'projects': []}
2025-05-22 20:48:02 | INFO     | app.service.employee_service:36 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-22 20:48:02 | INFO     | app.service.employee_service:38 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-22 20:48:02 | INFO     | employee_api.main:73 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-22 20:48:02 | INFO     | employee_api.main:74 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
